# 23 directories
# dir   1  /btl
# dir   2  /btl/char
# dir   3  /btl/common
# dir   4  /btl/cut_in
# dir   5  /btl/debug
# dir   6  /btl/eff
# dir   7  /btl/magic
# dir   8  /btl/map
# dir   9  /btl/prm
# dir  10  /fc
# dir  11  /item
# dir  12  /item/icon
# dir  13  /m
# dir  14  /m/misc
# dir  15  /m/misc/2D
# dir  16  /m/misc/etc
# dir  17  /menu
# dir  18  /menu/monsterbook
# dir  19  /menu/spirlink
# dir  20  /movie
# dir  21  /s
# dir  22  /s/lvd
# dir  23  /title
# fat_id	start	end	size	path
555	140268032	140287877	19845	/s/C6401
556	140288000	140312364	24364	/s/C6402
557	140312576	140351965	39389	/s/C6403
558	140352000	140364969	12969	/s/C6404
559	140365312	140384687	19375	/s/C6405
560	140384768	140402496	17728	/s/C6406
561	140402688	140420769	18081	/s/C6501
562	140421120	140453742	32622	/s/C6502
563	140453888	140473392	19504	/s/C6503
564	140473856	140504798	30942	/s/C6504
565	140505088	140506769	1681	/s/C6505
566	140507136	140530606	23470	/s/C6601
567	140530688	140557084	26396	/s/C6602
568	140557312	140578302	20990	/s/C6603
569	140578304	140592199	13895	/s/C6604
570	140592640	140613396	20756	/s/C6605
571	140613632	140631641	18009	/s/C6606
